Country,Human Development Index (2000),Human Development Index (2001),Human Development Index (2000),Human Development Index (2002),Human Development Index (2003),Human Development Index (2004),Human Development Index (2005),Human Development Index (2006),Human Development Index (2007),Human Development Index (2008),Human Development Index (2009),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Human Development Index (2015),Human Development Index (2016),Human Development Index (2017),Human Development Index (2018),Human Development Index (2019),Human Development Index (2020),Human Development Index (2021)
Afghanistan,0.335,0.337,0.335,0.36200000000000004,0.376,0.392,0.4,0.409,0.424,0.43,0.44,0.44799999999999995,0.456,0.466,0.474,0.479,0.478,0.48100000000000004,0.48200000000000004,0.483,0.488,0.483,0.478
Angola,0.375,0.386,0.375,0.40299999999999997,0.42,0.433,0.447,0.45899999999999996,0.475,0.486,0.5,0.51,0.526,0.541,0.552,0.563,0.5820000000000001,0.596,0.597,0.595,0.595,0.59,0.586
Albania,0.677,0.684,0.677,0.6890000000000001,0.696,0.7,0.711,0.718,0.73,0.736,0.741,0.754,0.7659999999999999,0.778,0.785,0.792,0.795,0.7979999999999999,0.802,0.8059999999999999,0.81,0.794,0.7959999999999999
Andorra,0.818,0.825,0.818,0.8320000000000001,0.841,0.833,0.833,0.848,0.847,0.85,0.848,0.848,0.8490000000000001,0.8690000000000001,0.8640000000000001,0.871,0.867,0.871,0.868,0.872,0.873,0.848,0.858
United Arab Emirates,0.7959999999999999,0.8,0.7959999999999999,0.804,0.8140000000000001,0.818,0.8220000000000001,0.8270000000000001,0.831,0.8340000000000001,0.833,0.835,0.84,0.846,0.852,0.8590000000000001,0.865,0.87,0.897,0.909,0.92,0.912,0.9109999999999999
Argentina,0.779,0.784,0.779,0.785,0.7929999999999999,0.7979999999999999,0.802,0.8140000000000001,0.8170000000000001,0.825,0.8270000000000001,0.8340000000000001,0.841,0.843,0.845,0.846,0.848,0.847,0.851,0.85,0.852,0.84,0.8420000000000001
Armenia,0.662,0.6659999999999999,0.662,0.6759999999999999,0.6859999999999999,0.6940000000000001,0.7070000000000001,0.721,0.738,0.742,0.741,0.746,0.75,0.755,0.76,0.764,0.7659999999999999,0.765,0.768,0.7709999999999999,0.778,0.757,0.759
Antigua and Barbuda,,,,,,,,,0.802,0.8009999999999999,0.795,0.79,0.7829999999999999,0.787,0.787,0.789,0.7909999999999999,0.794,0.795,0.7979999999999999,0.8,0.7879999999999999,0.7879999999999999
Australia,0.8959999999999999,0.9,0.8959999999999999,0.902,0.9059999999999999,0.9079999999999999,0.9109999999999999,0.914,0.915,0.919,0.9209999999999999,0.9229999999999999,0.9259999999999999,0.93,0.929,0.9309999999999999,0.9329999999999999,0.935,0.937,0.941,0.941,0.9470000000000001,0.951
Austria,0.871,0.8759999999999999,0.871,0.879,0.8809999999999999,0.8859999999999999,0.889,0.893,0.8959999999999999,0.898,0.898,0.902,0.905,0.9059999999999999,0.905,0.909,0.91,0.915,0.9159999999999999,0.917,0.919,0.9129999999999999,0.9159999999999999
Azerbaijan,0.622,0.632,0.622,0.642,0.6509999999999999,0.659,0.672,0.6920000000000001,0.706,0.716,0.722,0.727,0.7290000000000001,0.7340000000000001,0.741,0.745,0.748,0.75,0.753,0.757,0.7609999999999999,0.73,0.745
Burundi,0.297,0.299,0.297,0.311,0.319,0.33,0.33799999999999997,0.36,0.37200000000000005,0.386,0.395,0.405,0.41,0.41600000000000004,0.42100000000000004,0.426,0.428,0.43,0.428,0.428,0.431,0.426,0.426
Belgium,0.887,0.89,0.887,0.892,0.895,0.9,0.902,0.905,0.9079999999999999,0.9079999999999999,0.91,0.912,0.914,0.915,0.9159999999999999,0.9209999999999999,0.924,0.927,0.9309999999999999,0.9329999999999999,0.9359999999999999,0.9279999999999999,0.937
Benin,0.41600000000000004,0.428,0.41600000000000004,0.436,0.44299999999999995,0.45,0.457,0.46399999999999997,0.47200000000000003,0.48,0.486,0.49200000000000005,0.499,0.509,0.52,0.524,0.529,0.53,0.53,0.53,0.53,0.524,0.525
Burkina Faso,0.29600000000000004,0.299,0.29600000000000004,0.303,0.31,0.32,0.331,0.33899999999999997,0.33399999999999996,0.349,0.36,0.37200000000000005,0.384,0.395,0.402,0.408,0.418,0.42700000000000005,0.43799999999999994,0.449,0.452,0.449,0.449
Bangladesh,0.485,0.49200000000000005,0.485,0.499,0.505,0.511,0.518,0.524,0.527,0.53,0.541,0.5529999999999999,0.561,0.5720000000000001,0.574,0.583,0.602,0.612,0.622,0.635,0.644,0.655,0.6609999999999999
Bulgaria,0.725,0.7340000000000001,0.725,0.74,0.7490000000000001,0.7559999999999999,0.762,0.767,0.774,0.782,0.785,0.79,0.794,0.7979999999999999,0.805,0.807,0.809,0.809,0.8079999999999999,0.809,0.81,0.802,0.795
Bahrain,0.7979999999999999,0.804,0.7979999999999999,0.804,0.8059999999999999,0.804,0.8029999999999999,0.804,0.807,0.8079999999999999,0.8059999999999999,0.8079999999999999,0.809,0.8170000000000001,0.8240000000000001,0.83,0.858,0.865,0.8690000000000001,0.879,0.882,0.877,0.875
Bahamas,0.799,0.8009999999999999,0.799,0.804,0.805,0.807,0.8109999999999999,0.813,0.812,0.812,0.81,0.812,0.812,0.815,0.816,0.82,0.82,0.823,0.825,0.8270000000000001,0.816,0.815,0.812
Bosnia and Herzegovina,0.667,0.672,0.667,0.675,0.6829999999999999,0.69,0.691,0.6990000000000001,0.7070000000000001,0.718,0.721,0.725,0.732,0.745,0.7509999999999999,0.7559999999999999,0.7609999999999999,0.77,0.772,0.7759999999999999,0.7829999999999999,0.7809999999999999,0.78
Belarus,0.7120000000000001,0.716,0.7120000000000001,0.721,0.73,0.742,0.75,0.762,0.773,0.7829999999999999,0.785,0.79,0.797,0.8059999999999999,0.8079999999999999,0.812,0.812,0.813,0.8170000000000001,0.818,0.8170000000000001,0.807,0.8079999999999999
Belize,0.64,0.643,0.64,0.652,0.66,0.667,0.664,0.68,0.685,0.693,0.701,0.7070000000000001,0.7090000000000001,0.713,0.7120000000000001,0.7090000000000001,0.708,0.7120000000000001,0.7070000000000001,0.706,0.705,0.69,0.6829999999999999
Bolivia,0.632,0.632,0.632,0.63,0.627,0.626,0.635,0.638,0.645,0.652,0.6579999999999999,0.662,0.6679999999999999,0.674,0.682,0.684,0.69,0.701,0.708,0.7140000000000001,0.7170000000000001,0.6940000000000001,0.6920000000000001
Brazil,0.679,0.6859999999999999,0.679,0.6920000000000001,0.688,0.6920000000000001,0.698,0.7,0.7040000000000001,0.715,0.7170000000000001,0.723,0.728,0.732,0.75,0.754,0.753,0.755,0.759,0.764,0.7659999999999999,0.758,0.754
Barbados,0.7559999999999999,0.7559999999999999,0.7559999999999999,0.76,0.765,0.77,0.7759999999999999,0.7809999999999999,0.7859999999999999,0.789,0.7909999999999999,0.7879999999999999,0.784,0.787,0.787,0.789,0.7909999999999999,0.794,0.7959999999999999,0.797,0.799,0.7879999999999999,0.79
Brunei,0.8079999999999999,0.809,0.8079999999999999,0.813,0.818,0.8220000000000001,0.825,0.828,0.8270000000000001,0.826,0.828,0.828,0.8320000000000001,0.838,0.838,0.8370000000000001,0.836,0.835,0.8340000000000001,0.83,0.83,0.83,0.8290000000000001
Bhutan,,,,,,,,,,,,0.581,0.591,0.598,0.606,0.617,0.627,0.638,0.647,0.6579999999999999,0.6709999999999999,0.6679999999999999,0.6659999999999999
Botswana,0.585,0.586,0.585,0.583,0.59,0.595,0.604,0.618,0.632,0.642,0.647,0.66,0.669,0.674,0.687,0.696,0.7020000000000001,0.713,0.722,0.716,0.7170000000000001,0.713,0.693
Central African Republic,0.32899999999999996,0.332,0.32899999999999996,0.33299999999999996,0.33299999999999996,0.337,0.342,0.345,0.35100000000000003,0.358,0.364,0.37200000000000005,0.381,0.38799999999999996,0.368,0.37,0.384,0.391,0.39799999999999996,0.405,0.41100000000000003,0.40700000000000003,0.40399999999999997
Canada,0.89,0.892,0.89,0.894,0.897,0.9009999999999999,0.903,0.907,0.9079999999999999,0.91,0.909,0.9109999999999999,0.915,0.9209999999999999,0.9229999999999999,0.925,0.9259999999999999,0.9279999999999999,0.9309999999999999,0.9329999999999999,0.937,0.9309999999999999,0.9359999999999999
Switzerland,0.887,0.89,0.887,0.89,0.895,0.9009999999999999,0.905,0.914,0.92,0.9259999999999999,0.9359999999999999,0.9420000000000001,0.943,0.945,0.948,0.9520000000000001,0.9540000000000001,0.956,0.9570000000000001,0.9590000000000001,0.9620000000000001,0.956,0.9620000000000001
Chile,0.763,0.768,0.763,0.775,0.779,0.787,0.795,0.7959999999999999,0.8009999999999999,0.813,0.8109999999999999,0.813,0.8170000000000001,0.8240000000000001,0.836,0.841,0.846,0.85,0.853,0.856,0.861,0.852,0.855
China,0.584,0.593,0.584,0.604,0.615,0.626,0.638,0.65,0.6629999999999999,0.672,0.682,0.691,0.7,0.7090000000000001,0.7170000000000001,0.725,0.733,0.74,0.747,0.755,0.762,0.764,0.768
Ivory Coast,0.457,0.456,0.457,0.45399999999999996,0.45299999999999996,0.455,0.456,0.45799999999999996,0.461,0.46399999999999997,0.469,0.473,0.47200000000000003,0.47700000000000004,0.483,0.502,0.513,0.524,0.534,0.542,0.55,0.551,0.55
Cameroon,0.442,0.46,0.442,0.461,0.46799999999999997,0.474,0.475,0.47700000000000004,0.489,0.49700000000000005,0.506,0.513,0.521,0.5329999999999999,0.542,0.551,0.56,0.564,0.5710000000000001,0.5770000000000001,0.583,0.578,0.5760000000000001
The Democratic Republic of the Congo,0.376,0.374,0.376,0.37799999999999995,0.384,0.39,0.395,0.401,0.406,0.41600000000000004,0.42100000000000004,0.429,0.43799999999999994,0.44,0.446,0.455,0.46299999999999997,0.47200000000000003,0.475,0.48,0.48200000000000004,0.479,0.479
Congo,0.491,0.49700000000000005,0.491,0.5,0.5,0.505,0.519,0.532,0.5329999999999999,0.541,0.5539999999999999,0.561,0.564,0.575,0.58,0.589,0.59,0.586,0.58,0.578,0.57,0.574,0.5710000000000001
Colombia,0.6659999999999999,0.667,0.6659999999999999,0.67,0.677,0.6829999999999999,0.696,0.698,0.71,0.716,0.722,0.726,0.733,0.7340000000000001,0.746,0.75,0.754,0.759,0.7609999999999999,0.763,0.768,0.7559999999999999,0.752
Comoros,0.46399999999999997,0.47,0.46399999999999997,0.474,0.479,0.48200000000000004,0.488,0.494,0.5,0.507,0.513,0.52,0.527,0.5329999999999999,0.539,0.54,0.544,0.5479999999999999,0.5529999999999999,0.557,0.56,0.562,0.5579999999999999
Cabo Verde,0.569,0.5760000000000001,0.569,0.5870000000000001,0.593,0.597,0.606,0.62,0.629,0.635,0.639,0.644,0.653,0.6559999999999999,0.6659999999999999,0.667,0.6629999999999999,0.67,0.675,0.6729999999999999,0.6759999999999999,0.662,0.662
Costa Rica,0.71,0.715,0.71,0.722,0.727,0.732,0.74,0.747,0.7559999999999999,0.765,0.769,0.772,0.782,0.7859999999999999,0.792,0.7959999999999999,0.7979999999999999,0.8029999999999999,0.807,0.8109999999999999,0.8190000000000001,0.816,0.809
Cuba,0.693,0.7,0.693,0.706,0.7140000000000001,0.728,0.741,0.7609999999999999,0.775,0.784,0.784,0.78,0.777,0.773,0.769,0.7709999999999999,0.773,0.774,0.779,0.7829999999999999,0.7879999999999999,0.7809999999999999,0.764
Cyprus,0.797,0.804,0.797,0.816,0.825,0.83,0.8340000000000001,0.841,0.848,0.857,0.862,0.857,0.861,0.86,0.861,0.865,0.871,0.877,0.887,0.892,0.897,0.894,0.8959999999999999
Czechia,0.8079999999999999,0.818,0.8079999999999999,0.825,0.831,0.836,0.8440000000000001,0.852,0.8590000000000001,0.863,0.865,0.87,0.872,0.8740000000000001,0.8809999999999999,0.887,0.8909999999999999,0.895,0.897,0.894,0.897,0.892,0.889
Germany,0.889,0.8959999999999999,0.889,0.9009999999999999,0.905,0.914,0.914,0.917,0.9209999999999999,0.9229999999999999,0.9229999999999999,0.9259999999999999,0.9309999999999999,0.9329999999999999,0.934,0.937,0.938,0.941,0.9440000000000001,0.945,0.948,0.9440000000000001,0.9420000000000001
Djibouti,0.361,0.371,0.361,0.37799999999999995,0.38799999999999996,0.396,0.405,0.41600000000000004,0.426,0.434,0.445,0.45799999999999996,0.47,0.478,0.483,0.488,0.493,0.496,0.499,0.506,0.512,0.51,0.509
Dominica,0.695,0.6940000000000001,0.695,0.695,0.695,0.7,0.701,0.708,0.7070000000000001,0.7170000000000001,0.713,0.711,0.7020000000000001,0.706,0.6990000000000001,0.705,0.7,0.7090000000000001,0.6920000000000001,0.726,0.7290000000000001,0.722,0.72
Denmark,0.889,0.895,0.889,0.8959999999999999,0.9009999999999999,0.9059999999999999,0.9109999999999999,0.91,0.9109999999999999,0.915,0.909,0.9129999999999999,0.9259999999999999,0.9309999999999999,0.9329999999999999,0.932,0.9359999999999999,0.943,0.9440000000000001,0.9420000000000001,0.946,0.9470000000000001,0.948
Dominican Republic,0.6459999999999999,0.6509999999999999,0.6459999999999999,0.657,0.659,0.6629999999999999,0.674,0.6829999999999999,0.6920000000000001,0.6970000000000001,0.701,0.708,0.713,0.718,0.722,0.728,0.736,0.755,0.757,0.764,0.7709999999999999,0.764,0.767
Algeria,0.649,0.655,0.649,0.664,0.67,0.6779999999999999,0.685,0.69,0.6970000000000001,0.705,0.7140000000000001,0.721,0.727,0.7290000000000001,0.731,0.735,0.74,0.743,0.7440000000000001,0.745,0.748,0.736,0.745
Ecuador,0.687,0.693,0.687,0.698,0.703,0.71,0.715,0.72,0.723,0.7290000000000001,0.731,0.736,0.743,0.7509999999999999,0.755,0.76,0.765,0.762,0.762,0.762,0.76,0.731,0.74
Egypt,0.633,0.637,0.633,0.639,0.637,0.64,0.643,0.647,0.655,0.6629999999999999,0.6679999999999999,0.675,0.679,0.688,0.6940000000000001,0.6990000000000001,0.706,0.713,0.721,0.7290000000000001,0.735,0.7340000000000001,0.731
Eritrea,,,,0.426,0.43700000000000006,0.445,0.449,0.45299999999999996,0.457,0.44799999999999995,0.457,0.46299999999999997,0.48100000000000004,0.486,0.483,0.502,0.483,0.488,0.484,0.493,0.495,0.494,0.49200000000000005
Spain,0.825,0.83,0.825,0.8340000000000001,0.8370000000000001,0.8440000000000001,0.85,0.856,0.858,0.86,0.861,0.868,0.872,0.8740000000000001,0.88,0.884,0.889,0.895,0.897,0.9009999999999999,0.9079999999999999,0.899,0.905
Estonia,0.787,0.797,0.787,0.807,0.816,0.826,0.8390000000000001,0.847,0.853,0.856,0.856,0.861,0.871,0.8740000000000001,0.88,0.879,0.882,0.885,0.887,0.8909999999999999,0.8959999999999999,0.892,0.89
Ethiopia,0.287,0.301,0.287,0.309,0.313,0.327,0.34600000000000003,0.363,0.38,0.395,0.402,0.41200000000000003,0.42200000000000004,0.43,0.441,0.45,0.46,0.47,0.48,0.489,0.498,0.498,0.498
Finland,0.8909999999999999,0.9,0.8909999999999999,0.904,0.907,0.902,0.905,0.909,0.9109999999999999,0.912,0.907,0.9109999999999999,0.915,0.915,0.9259999999999999,0.927,0.93,0.9309999999999999,0.934,0.9359999999999999,0.9390000000000001,0.938,0.94
